product	product_lc
putative glycosyltransferase	putative glycosyltransferase
putative capsular polysaccharide synthesis protein	putative capsular polysaccharide synthesis protein
DNA-binding response regulator, AraC family	dna-binding response regulator, arac family
Endoglucanase E precursor (EC 3.2.1.4) (EgE) (Endo-1,4-beta-glucanase E) (Cellulase E)	endoglucanase e precursor (ec 3.2.1.4) (ege) (endo-1,4-beta-glucanase e) (cellulase e)
Peptide ABC transporter, ATP-binding protein	peptide abc transporter, atp-binding protein
Beta-mannosidase (EC 3.2.1.25)	beta-mannosidase (ec 3.2.1.25)
Membrane-spanning protein	membrane-spanning protein
possible permease	possible permease
Amino acid ABC transporter, periplasmic amino acid-binding protein	amino acid abc transporter, periplasmic amino acid-binding protein
N-acetylglucosamine kinase bacterial type predicted / Transcriptional regulator	n-acetylglucosamine kinase bacterial type predicted / transcriptional regulator
protein of unknown function DUF81	protein of unknown function duf81
FIG00628646: hypothetical protein	fig00628646: hypothetical protein
Probable ABC transporter permease protein ytcP	probable abc transporter permease protein ytcp
FIG00627489: hypothetical protein	fig00627489: hypothetical protein
putative glycosyl hydrolase	putative glycosyl hydrolase
protein of unknown function DUF181	protein of unknown function duf181
Phage terminase, large subunit	phage terminase, large subunit
FIG00427651: hypothetical protein	fig00427651: hypothetical protein
FIG00427338: hypothetical protein	fig00427338: hypothetical protein
FIG00425782: hypothetical protein	fig00425782: hypothetical protein
transcriptional modulator of MazE/toxin, MazF	transcriptional modulator of maze/toxin, mazf
phage-related integrase	phage-related integrase
Predicted hydrolase	predicted hydrolase
"Replicative DNA helicase (DnaB) "	"replicative dna helicase (dnab) "
"Alkyl hydroperoxide reductase protein F "	"alkyl hydroperoxide reductase protein f "
PTS system, fructose-specific IIC component (EC 2.7.1.69)	pts system, fructose-specific iic component (ec 2.7.1.69)
CRISPR-associated protein, TM1801 family	crispr-associated protein, tm1801 family
CRISPR-associated protein, CT1133 family	crispr-associated protein, ct1133 family
Alfa-L-rhamnosidase (EC 3.2.1.40)	alfa-l-rhamnosidase (ec 3.2.1.40)
Predicted L-rhamnose permease RhaY	predicted l-rhamnose permease rhay
regulatory protein, LacI:Periplasmic binding protein/LacI transcriptional regulator	regulatory protein, laci:periplasmic binding protein/laci transcriptional regulator
OsmC family protein	osmc family protein
"Aspartyl-tRNA(Asn) amidotransferase subunit A @ Glutamyl-tRNA(Gln) amidotransferase subunit A "	"aspartyl-trna(asn) amidotransferase subunit a @ glutamyl-trna(gln) amidotransferase subunit a "
"Aliphatic amidase AmiE "	"aliphatic amidase amie "
aggregation substance, putative	aggregation substance, putative
Rv3128c-like protein	rv3128c-like protein
"O antigen biosynthesis rhamnosyltransferase rfbN "	"o antigen biosynthesis rhamnosyltransferase rfbn "
putative glycosyl transferase	putative glycosyl transferase
FIG00824695: hypothetical protein	fig00824695: hypothetical protein
Mu-like prophage protein gp29	mu-like prophage protein gp29
Spermidine N1-acetyltransferase (EC 2.3.1.57)	spermidine n1-acetyltransferase (ec 2.3.1.57)
"Type I restriction-modification system, DNA- methyltransferase subunit M "	"type i restriction-modification system, dna- methyltransferase subunit m "
Transcriptional regulator, ArsR family	transcriptional regulator, arsr family
two-component sensor (kinase)( EC:2.7.3.- )	two-component sensor (kinase)( ec:2.7.3.- )
Tn5252, Orf23	tn5252, orf23
putative asparagine synthetase	putative asparagine synthetase
ABC transporter, NBP/MSD fusion protein	abc transporter, nbp/msd fusion protein
putative two-component sensor	putative two-component sensor
"Protease II "	"protease ii "
Evolved beta-D-galactosidase, beta subunit	evolved beta-d-galactosidase, beta subunit
Sugar-binding periplasmic protein	sugar-binding periplasmic protein
Mgl repressor and galactose ultrainduction factor GalS, HTH-type transcriptional regulator	mgl repressor and galactose ultrainduction factor gals, hth-type transcriptional regulator
possible NagC/XylR-type transcriptional regulator	possible nagc/xylr-type transcriptional regulator
putative esterase	putative esterase
Flp pilus assembly protein, ATPase CpaF	flp pilus assembly protein, atpase cpaf
"4'-phosphopantetheinyl transferase entD "	"4'-phosphopantetheinyl transferase entd "
FIG00623615: hypothetical protein	fig00623615: hypothetical protein
Conservative hypothetical protein probably involved in hydantoin, pyrimidine utilization / coupled to 3.5.2.14 or similar function	conservative hypothetical protein probably involved in hydantoin, pyrimidine utilization / coupled to 3.5.2.14 or similar function
Conservative hypothetical protein probably involved in hydantoin, pyrimidine utilization	conservative hypothetical protein probably involved in hydantoin, pyrimidine utilization
N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	n-methylhydantoinase (atp-hydrolyzing) (ec 3.5.2.14)
FIG00425784: hypothetical protein	fig00425784: hypothetical protein
FIG00425706: hypothetical protein	fig00425706: hypothetical protein
Membrane protein, related to Actinobacillus protein (1944168)	membrane protein, related to actinobacillus protein (1944168)
Outer membrane protein W precursor	outer membrane protein w precursor
Porphobilinogen synthase (EC 4.2.1.24)	porphobilinogen synthase (ec 4.2.1.24)
Proteinase inhibitor	proteinase inhibitor
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	2,4-dienoyl-coa reductase [nadph] (ec 1.3.1.34)
Malate dehydrogenase (EC 1.1.1.37)	malate dehydrogenase (ec 1.1.1.37)
Sensor histidine kinase	sensor histidine kinase
S1D (lysyl endopeptidase) subfamily C-terminal domain protein	s1d (lysyl endopeptidase) subfamily c-terminal domain protein
Alkylhydroperoxidase protein D	alkylhydroperoxidase protein d
Methylglutaconyl-CoA hydratase (EC 4.2.1.18)	methylglutaconyl-coa hydratase (ec 4.2.1.18)
metallo-beta-lactamase superfamily protein	metallo-beta-lactamase superfamily protein
Histone H1	histone h1
6-phosphofructokinase (EC 2.7.1.11)	6-phosphofructokinase (ec 2.7.1.11)
Transport protein	transport protein
Glutamate decarboxylase (EC 4.1.1.15)	glutamate decarboxylase (ec 4.1.1.15)
Probable glutamate/gamma-aminobutyrate antiporter	probable glutamate/gamma-aminobutyrate antiporter
Peptide transport system permease protein sapC (TC 3.A.1.5.5)	peptide transport system permease protein sapc (tc 3.a.1.5.5)
Transmembrane protein	transmembrane protein
FIG01211385: hypothetical protein	fig01211385: hypothetical protein
Putative ATP-binding component of a transport system	putative atp-binding component of a transport system
Peptidase, M20/M25/M40 family	peptidase, m20/m25/m40 family
O-antigen acetylase	o-antigen acetylase
Reductase	reductase
RloF	rlof
FIG131328: Predicted ATP-dependent endonuclease of the OLD family	fig131328: predicted atp-dependent endonuclease of the old family
Oligopeptide transporter	oligopeptide transporter
Glutathione synthetase (EC 6.3.2.3)	glutathione synthetase (ec 6.3.2.3)
FIG00953656: hypothetical protein	fig00953656: hypothetical protein
Sugar phosphate isomerases/epimerases	sugar phosphate isomerases/epimerases
Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	glucose-methanol-choline (gmc) oxidoreductase:nad binding site
Choline-sulfatase (EC 3.1.6.6)	choline-sulfatase (ec 3.1.6.6)
Chloramphenicol acetyltransferase (EC 2.3.1.28)	chloramphenicol acetyltransferase (ec 2.3.1.28)
COG0270: Site-specific DNA methylase	cog0270: site-specific dna methylase
DNA adenine methyltransferase, phage-associated	dna adenine methyltransferase, phage-associated
helicase domain protein	helicase domain protein
Pentapeptide repeat family protein	pentapeptide repeat family protein
polyhydroxybutyrate depolymerase	polyhydroxybutyrate depolymerase
Sugar transporter	sugar transporter
Oxidoreductase, aldo/keto reductase family	oxidoreductase, aldo/keto reductase family
Probable serine/threonine-protein kinase pknB (EC 2.7.11.1)	probable serine/threonine-protein kinase pknb (ec 2.7.11.1)
ABC transporter, sugar binding protein	abc transporter, sugar binding protein
alpha-arabinosides ABC transport system, permease protein araP	alpha-arabinosides abc transport system, permease protein arap
16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)	16s rrna (guanine(966)-n(2))-methyltransferase (ec 2.1.1.171)
ArsR-family transcriptional regulator	arsr-family transcriptional regulator
ABC transporter MppL	abc transporter mppl
FIG00424886: hypothetical protein	fig00424886: hypothetical protein
pyridine nucleotide-disulphide oxidoreductase	pyridine nucleotide-disulphide oxidoreductase
FIG01255854: hypothetical protein	fig01255854: hypothetical protein
oxidoreductase, aldo/keto reductase family	oxidoreductase, aldo/keto reductase family
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	diaminohydroxyphosphoribosylaminopyrimidine deaminase (ec 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (ec 1.1.1.193)
Beta-xylosidase (EC 3.2.1.37)	beta-xylosidase (ec 3.2.1.37)
protein of unknown function DUF303, acetylesterase putative	protein of unknown function duf303, acetylesterase putative
Maltose O-acetyltransferase (EC 2.3.1.79)	maltose o-acetyltransferase (ec 2.3.1.79)
FIG00631414: hypothetical protein	fig00631414: hypothetical protein
Cellobiose phosphorylase (EC 2.4.1.-)	cellobiose phosphorylase (ec 2.4.1.-)
Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type	prolyl-trna synthetase (ec 6.1.1.15), bacterial type
Response regulator receiver:Transcriptional regulatory protein, C- terminal	response regulator receiver:transcriptional regulatory protein, c- terminal
ATP-dependent Clp protease ATP-binding subunit ClpA	atp-dependent clp protease atp-binding subunit clpa
/ Glutamine transport system permease protein GlnP (TC 3.A.1.3.2)	/ glutamine transport system permease protein glnp (tc 3.a.1.3.2)
Phage integrase , site-specific tyrosine recombinase	phage integrase , site-specific tyrosine recombinase
YcfA-like	ycfa-like
FIG00752531: hypothetical protein	fig00752531: hypothetical protein
Ferredoxin	ferredoxin
Uridine kinase (EC 2.7.1.48)	uridine kinase (ec 2.7.1.48)
Uncharacterized domain COG3236 / GTP cyclohydrolase II (EC 3.5.4.25)	uncharacterized domain cog3236 / gtp cyclohydrolase ii (ec 3.5.4.25)
FIG00524107: hypothetical protein	fig00524107: hypothetical protein
branched-chain amino acid transport	branched-chain amino acid transport
DNA polymerase III polC-type (EC 2.7.7.7)	dna polymerase iii polc-type (ec 2.7.7.7)
phage-related protein	phage-related protein
Recombinational DNA repair protein RecT (prophage associated)	recombinational dna repair protein rect (prophage associated)
putative methyltransferase	putative methyltransferase
FIG00426713: hypothetical protein	fig00426713: hypothetical protein
Methionine synthase II (cobalamin-independent)	methionine synthase ii (cobalamin-independent)
FIG039767: hypothetical protein	fig039767: hypothetical protein
ABC transporter ATP-binding protein YvcR	abc transporter atp-binding protein yvcr
protein with similarity to CrcB	protein with similarity to crcb
transcriptional regulator, MerR family	transcriptional regulator, merr family
putative riboflavin-specific deaminase	putative riboflavin-specific deaminase
GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)	gmp synthase [glutamine-hydrolyzing], amidotransferase subunit (ec 6.3.5.2) / gmp synthase [glutamine-hydrolyzing], atp pyrophosphatase subunit (ec 6.3.5.2)
Fibronectin, type III domain protein	fibronectin, type iii domain protein
Phage minor tail protein	phage minor tail protein
Putative phage prohead protease	putative phage prohead protease
gp2, terminase	gp2, terminase
UDP-glucose dehydrogenase (EC 1.1.1.22)	udp-glucose dehydrogenase (ec 1.1.1.22)
Phage minor structural protein	phage minor structural protein
3-hydroxy-3-methylglutaryl CoA synthase	3-hydroxy-3-methylglutaryl coa synthase
Phage capsid and scaffold	phage capsid and scaffold
COG0568: DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	cog0568: dna-directed rna polymerase, sigma subunit (sigma70/sigma32)
COG1403: Restriction endonuclease	cog1403: restriction endonuclease
COG1396: Predicted transcriptional regulators	cog1396: predicted transcriptional regulators
Possible membrane protein	possible membrane protein
Zonadhesin precursor	zonadhesin precursor
Ribose operon repressor	ribose operon repressor
glycosyl transferase family 8 protein	glycosyl transferase family 8 protein
Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster	dolichol-phosphate mannosyltransferase (ec 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster
acyltransferase, putative	acyltransferase, putative
Sialic acid-specific 9-O-acetylesterase	sialic acid-specific 9-o-acetylesterase
amino acid ABC transporter, ATP-binding protein	amino acid abc transporter, atp-binding protein
Endonuclease	endonuclease
Carbon-nitrogen hydrolase	carbon-nitrogen hydrolase
sulfate adenylyltransferase, subunit 2	sulfate adenylyltransferase, subunit 2
FIG00511787: hypothetical protein	fig00511787: hypothetical protein
FIG01115573: hypothetical protein	fig01115573: hypothetical protein
Octaprenyl diphosphate synthase (EC 2.5.1.90) / Dimethylallyltransferase (EC 2.5.1.1) / (2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10) / Geranylgeranyl diphosphate synthase (EC 2.5.1.29)	octaprenyl diphosphate synthase (ec 2.5.1.90) / dimethylallyltransferase (ec 2.5.1.1) / (2e,6e)-farnesyl diphosphate synthase (ec 2.5.1.10) / geranylgeranyl diphosphate synthase (ec 2.5.1.29)
IS150 putative transposase	is150 putative transposase
Mannan endo-1,4-beta-mannosidase precursor (EC 3.2.1.78)	mannan endo-1,4-beta-mannosidase precursor (ec 3.2.1.78)
UDP-N-acetylmuramoylalanyl-D-glutamate--L-ornithine ligase @ UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7)	udp-n-acetylmuramoylalanyl-d-glutamate--l-ornithine ligase @ udp-n-acetylmuramoylalanyl-d-glutamate--l-lysine ligase (ec 6.3.2.7)
O-Glycosyl hydrolase family 30	o-glycosyl hydrolase family 30
ParA	para
DNA helicase IV	dna helicase iv
collagen adhesin precursor	collagen adhesin precursor
Predicted outer membrane protein	predicted outer membrane protein
rRNA small subunit methyltransferase, glucose inhibited division protein GidB	rrna small subunit methyltransferase, glucose inhibited division protein gidb
Uncharacterized protein containing a divergent version of the methyl-accepting chemotaxis-like domain	uncharacterized protein containing a divergent version of the methyl-accepting chemotaxis-like domain
Outer membrane protein	outer membrane protein
FIG00546033: hypothetical protein	fig00546033: hypothetical protein
COG4166: ABC-type oligopeptide transport system, periplasmic component	cog4166: abc-type oligopeptide transport system, periplasmic component
FIG00672401: hypothetical protein	fig00672401: hypothetical protein
McrBC restriction endonuclease system, McrB subunit, putative	mcrbc restriction endonuclease system, mcrb subunit, putative
FIG00671952: hypothetical protein	fig00671952: hypothetical protein
Iron(III) dicitrate transport protein FecA	iron(iii) dicitrate transport protein feca
FIG00672353: hypothetical protein	fig00672353: hypothetical protein
FIG00672016: hypothetical protein	fig00672016: hypothetical protein
FIG00672170: hypothetical protein	fig00672170: hypothetical protein
Cu+ P-type ATPase	cu+ p-type atpase
Endonuclease (EC 3.1.-.-)	endonuclease (ec 3.1.-.-)
FIG00672568: hypothetical protein	fig00672568: hypothetical protein
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB4)	atpase provides energy for both assembly of type iv secretion complex and secretion of t-dna complex (virb4)
FIG01209130: hypothetical protein	fig01209130: hypothetical protein
putative	putative
unknown protein	unknown protein
type IIS restriction enzyme R protein (MBOIIR)	type iis restriction enzyme r protein (mboiir)
hypothetical protein APECO1_2271	hypothetical protein apeco1_2271
putative Outer membrane protein	putative outer membrane protein
Allantoate amidohydrolase (EC 3.5.3.9)	allantoate amidohydrolase (ec 3.5.3.9)
Allantoin permease	allantoin permease
Peptidyl-prolyl cis-trans isomerase	peptidyl-prolyl cis-trans isomerase
Flagellar assembly factor FliW	flagellar assembly factor fliw
Twin-arginine translocation protein TatC	twin-arginine translocation protein tatc
tRNA pseudouridine 13 synthase (EC 4.2.1.-)	trna pseudouridine 13 synthase (ec 4.2.1.-)
Alanine dehydrogenase (EC 1.4.1.1)	alanine dehydrogenase (ec 1.4.1.1)
FIG01236633: hypothetical protein	fig01236633: hypothetical protein
FIG00710462: hypothetical protein	fig00710462: hypothetical protein
FIG00672195: hypothetical protein	fig00672195: hypothetical protein
FIG00672532: hypothetical protein	fig00672532: hypothetical protein
FIG00672299: hypothetical protein	fig00672299: hypothetical protein
Putative prophage protein (ps3)	putative prophage protein (ps3)
Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	ascorbate-specific pts system, eiia component (ec 2.7.1.-)
Phosphocarrier protein of PTS system	phosphocarrier protein of pts system
FIG00672009: hypothetical protein	fig00672009: hypothetical protein
FIG00672327: hypothetical protein	fig00672327: hypothetical protein
alpha-amylase	alpha-amylase
Fumarate reductase subunit C	fumarate reductase subunit c
FIG01201079: hypothetical protein	fig01201079: hypothetical protein
FIG00672551: hypothetical protein	fig00672551: hypothetical protein
Peptidyl-prolyl cis-trans isomerase PpiC (EC 5.2.1.8)	peptidyl-prolyl cis-trans isomerase ppic (ec 5.2.1.8)
Ubiquitin-protein ligase	ubiquitin-protein ligase
NADH peroxidase (EC 1.11.1.1)	nadh peroxidase (ec 1.11.1.1)
FIG00630194: hypothetical protein	fig00630194: hypothetical protein
Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	pyruvate-flavodoxin oxidoreductase (ec 1.2.7.-)
PTS system, mannose-specific IIB component (EC 2.7.1.69)	pts system, mannose-specific iib component (ec 2.7.1.69)
FIG01229456: hypothetical protein	fig01229456: hypothetical protein
Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	cytochrome c oxidase polypeptide ii (ec 1.9.3.1)
Cardiolipin synthetase (EC 2.7.8.-)	cardiolipin synthetase (ec 2.7.8.-)
FIG01108853: hypothetical protein	fig01108853: hypothetical protein
FIG01199933: hypothetical protein	fig01199933: hypothetical protein
putative NADH-dependent flavin oxidoreductase	putative nadh-dependent flavin oxidoreductase
Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	cytochrome o ubiquinol oxidase subunit ii (ec 1.10.3.-)
FIG00630256: hypothetical protein	fig00630256: hypothetical protein
abortive phage resistance protein	abortive phage resistance protein
FIG00472484: hypothetical protein	fig00472484: hypothetical protein
Transcriptional regulator KdgR, KDG operon repressor	transcriptional regulator kdgr, kdg operon repressor
Inosine monophosphate dehydrogenase-related protein	inosine monophosphate dehydrogenase-related protein
TPR domain protein in aerotolerance operon	tpr domain protein in aerotolerance operon
Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)	aminoglycoside 3'-phosphotransferase (ec 2.7.1.95)
FIG01202244: hypothetical protein	fig01202244: hypothetical protein
Cytidine/deoxycytidylate deaminase family protein	cytidine/deoxycytidylate deaminase family protein
Lanthionine biosynthesis protein LanM	lanthionine biosynthesis protein lanm
Conserved protein	conserved protein
coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase	coenzyme f420-dependent n5,n10-methylene tetrahydromethanopterin reductase
phosphopyruvate hydratase	phosphopyruvate hydratase
FIG01031805: hypothetical protein	fig01031805: hypothetical protein
FIG01279193: hypothetical protein	fig01279193: hypothetical protein
FIG00670987: hypothetical protein	fig00670987: hypothetical protein
Phosphinothricin N-acetyltransferase (EC 2.3.1.-)	phosphinothricin n-acetyltransferase (ec 2.3.1.-)
COG1609: Transcriptional regulators	cog1609: transcriptional regulators
Alpha-xylosidase (EC 3.2.1.-)	alpha-xylosidase (ec 3.2.1.-)
FIG00425647: hypothetical protein	fig00425647: hypothetical protein
Rrf2 family transcriptional regulator, group III	rrf2 family transcriptional regulator, group iii
FIG00423908: hypothetical protein	fig00423908: hypothetical protein
Endo-beta-N-acetylglucosaminidase (EC 3.2.1.96)	endo-beta-n-acetylglucosaminidase (ec 3.2.1.96)
COG0738: Fucose permease	cog0738: fucose permease
FIG00628423: hypothetical protein	fig00628423: hypothetical protein
DNA-binding response regulator KdpE	dna-binding response regulator kdpe
Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)	potassium-transporting atpase c chain (ec 3.6.3.12) (tc 3.a.3.7.1)
Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	potassium-transporting atpase b chain (ec 3.6.3.12) (tc 3.a.3.7.1)
Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)	potassium-transporting atpase a chain (ec 3.6.3.12) (tc 3.a.3.7.1)
FIG00427397: hypothetical protein	fig00427397: hypothetical protein
FIG00425884: hypothetical protein	fig00425884: hypothetical protein
FIG00424053: hypothetical protein	fig00424053: hypothetical protein
death-on-curing family protein	death-on-curing family protein
FIG00424547: hypothetical protein	fig00424547: hypothetical protein
"Thiaminase II "	"thiaminase ii "
oxidoreductase	oxidoreductase
FIG00425408: hypothetical protein	fig00425408: hypothetical protein
FIG01046921: hypothetical protein	fig01046921: hypothetical protein
Modification methylase DdeI	modification methylase ddei
Arsenical-resistance protein ACR3	arsenical-resistance protein acr3
Transposase IS66	transposase is66
FIG00424607: hypothetical protein	fig00424607: hypothetical protein
FIG00425238: hypothetical protein	fig00425238: hypothetical protein
ATP-dependent Zn protease	atp-dependent zn protease
Carboxymuconolactone decarboxylase Related Protein	carboxymuconolactone decarboxylase related protein
transcription regulator	transcription regulator
D-AMINOPEPTIDASE (EC 3.4.11.19)	d-aminopeptidase (ec 3.4.11.19)
FIG00424511: hypothetical protein	fig00424511: hypothetical protein
FIG00425664: hypothetical protein	fig00425664: hypothetical protein
FIG00426996: hypothetical protein	fig00426996: hypothetical protein
MurB family protein	murb family protein
FIG00425345: hypothetical protein	fig00425345: hypothetical protein
possible arabinogalactan endo-beta-galactosidase or galactanase	possible arabinogalactan endo-beta-galactosidase or galactanase
TnpV	tnpv
Hypothetical protein, CF-32 family	hypothetical protein, cf-32 family
COG3464: Transposase and inactivated derivatives	cog3464: transposase and inactivated derivatives
FIG00426454: hypothetical protein	fig00426454: hypothetical protein
COG3533 secreted protein	cog3533 secreted protein
Twin-arginine translocation protein TatA	twin-arginine translocation protein tata
FIG00426028: hypothetical protein	fig00426028: hypothetical protein
Putative pectinesterase (EC 3.1.1.11)	putative pectinesterase (ec 3.1.1.11)
Flagellar hook-length control protein FliK	flagellar hook-length control protein flik
FIG00424656: hypothetical protein	fig00424656: hypothetical protein
FIG00426623: hypothetical protein	fig00426623: hypothetical protein
FIG00427342: hypothetical protein	fig00427342: hypothetical protein
FIG00427520: hypothetical protein	fig00427520: hypothetical protein
endo-1,4-beta-xylanase	endo-1,4-beta-xylanase
ATP-dependent DNA helicase RecG	atp-dependent dna helicase recg
FIG00426159: hypothetical protein	fig00426159: hypothetical protein
Putative CDP-glycosylpolyol phosphate:glycosylpolyol glycosylpolyolphosphotransferase	putative cdp-glycosylpolyol phosphate:glycosylpolyol glycosylpolyolphosphotransferase
ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	abc-type bacteriocin/lantibiotic exporters, contain an n-terminal double-glycine peptidase domain
FIG00426835: hypothetical protein	fig00426835: hypothetical protein
FIG00424637: hypothetical protein	fig00424637: hypothetical protein
N-Acetyl-D-glucosamine permease 2, possible	n-acetyl-d-glucosamine permease 2, possible
Dihydroneopterin aldolase (EC 4.1.2.25)	dihydroneopterin aldolase (ec 4.1.2.25)
FIG00425838: hypothetical protein	fig00425838: hypothetical protein
CRISPR-associated protein, Cse2 family	crispr-associated protein, cse2 family
CRISPR-associated protein, Cse4 family	crispr-associated protein, cse4 family
Propionicin SM1	propionicin sm1
heat shock protein, HSP20 family	heat shock protein, hsp20 family
mannan endo-1,4-beta-mannosidase precursor	mannan endo-1,4-beta-mannosidase precursor
Methyltransferase	methyltransferase
Aldo/keto reductase of diketogulonate reductase family( EC:1.1.1.274 )	aldo/keto reductase of diketogulonate reductase family( ec:1.1.1.274 )
Probable aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) (Kanamycin kinase)	probable aminoglycoside 3'-phosphotransferase (ec 2.7.1.95) (kanamycin kinase)
lysosomal glucosyl ceramidase-like protein	lysosomal glucosyl ceramidase-like protein
Glycoside-Pentoside-Hexuronide (GPH):Cation symporter family protein	glycoside-pentoside-hexuronide (gph):cation symporter family protein
ATP binding protein of ABC transporter for pentoses	atp binding protein of abc transporter for pentoses
Ribosomal RNA large subunit methyltransferase A (EC 2.1.1.51)	ribosomal rna large subunit methyltransferase a (ec 2.1.1.51)
Dienelactone hydrolase and related enzymes	dienelactone hydrolase and related enzymes
truncated transcriptional regulator	truncated transcriptional regulator
putative flavodoxin	putative flavodoxin
Protein At2g37660, chloroplast precursor	protein at2g37660, chloroplast precursor
GCN5-related N-acetyltransferase; Histone acetyltransferase HPA2 and related acetyltransferases	gcn5-related n-acetyltransferase; histone acetyltransferase hpa2 and related acetyltransferases
ABC lipoprotein transporter, permease component	abc lipoprotein transporter, permease component
Uncharacterized NAD(FAD)-dependent dehydrogenase	uncharacterized nad(fad)-dependent dehydrogenase
D-alanine--D-alanine ligase A (EC 6.3.2.4)	d-alanine--d-alanine ligase a (ec 6.3.2.4)
"ATP-dependent DNA helicase RecG "	"atp-dependent dna helicase recg "
FIG00750832: hypothetical protein	fig00750832: hypothetical protein
peptidase S10, serine carboxypeptidase	peptidase s10, serine carboxypeptidase
Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase	bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( nadph:quinone reductase) (ec 1.1.1.-); similar to arginate lyase
integral membrane protein	integral membrane protein
putative sugar ABC transporter, permease component	putative sugar abc transporter, permease component
Possible beta-xylosidase, family 43 of glycosyl hydrolases	possible beta-xylosidase, family 43 of glycosyl hydrolases
Similar to ribosomal large subunit pseudouridine synthase D, type RluD4	similar to ribosomal large subunit pseudouridine synthase d, type rlud4
expressed protein	expressed protein
Glycerol dehydrogenase (EC 1.1.1.6)	glycerol dehydrogenase (ec 1.1.1.6)
COG3467: Predicted flavin-nucleotide-binding protein	cog3467: predicted flavin-nucleotide-binding protein
CspA	cspa
contains alpha/beta hydrolase fold domain	contains alpha/beta hydrolase fold domain
narrowly conserved protein with unknown function	narrowly conserved protein with unknown function
dihydrolipoamide dehydrogenase	dihydrolipoamide dehydrogenase
similar to transporter	similar to transporter
2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)	2,3-butanediol dehydrogenase, s-alcohol forming, (s)-acetoin-specific (ec 1.1.1.76)
Hypothetical protein VC0266 (sugar utilization related?)	hypothetical protein vc0266 (sugar utilization related?)
transcription repressor	transcription repressor
uncharacterized low-complexity protein	uncharacterized low-complexity protein
putative transcriptional regulator, AsnC family	putative transcriptional regulator, asnc family
hydrolase, putative	hydrolase, putative
NUDIX family hydrolase	nudix family hydrolase
Predicted amino-acid acetyltransferase (EC 2.3.1.1) complementing ArgA function in Arginine Biosynthesis pathway	predicted amino-acid acetyltransferase (ec 2.3.1.1) complementing arga function in arginine biosynthesis pathway
long-chain-fatty-acid-CoA ligase	long-chain-fatty-acid-coa ligase
transposase for insertion sequence	transposase for insertion sequence
Cytoplasmic alpha-amylase (EC 3.2.1.1)	cytoplasmic alpha-amylase (ec 3.2.1.1)
FIG042921: similarity to aminoacyl-tRNA editing enzymes YbaK, ProX	fig042921: similarity to aminoacyl-trna editing enzymes ybak, prox
Adenosine deaminase (EC 3.5.4.4)	adenosine deaminase (ec 3.5.4.4)
Isochorismate pyruvate-lyase (EC 4.-.-.-)	isochorismate pyruvate-lyase (ec 4.-.-.-)
DNA topology modulation protein	dna topology modulation protein
FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA	ftsk/spoiiie family protein, putative secretion system component essc/yuka
COG2879: Uncharacterized small protein	cog2879: uncharacterized small protein
Multidrug ABC exporter (DrugE2) family, ATP binding/membrane-spanning protein	multidrug abc exporter (druge2) family, atp binding/membrane-spanning protein
probable short-chain dehydrogenase	probable short-chain dehydrogenase
peptidyl-prolyl cis-trans isomerase( EC:5.2.1.8 )	peptidyl-prolyl cis-trans isomerase( ec:5.2.1.8 )
